frame_idx,time_s,peak_clean_db,peak_noisy_db,file_name
0,0.0,-300.0,-300.0,cir_frame_0000.npz
1,0.7120593786239624,-94.46291336274035,-94.45990243040973,cir_frame_0001.npz
2,1.4241187572479248,-97.5578402402441,-97.53605486766078,cir_frame_0002.npz
3,2.1361780166625977,-99.8592186786797,-99.8508565210486,cir_frame_0003.npz
4,2.8482375144958496,-101.68529617660786,-101.62974555092951,cir_frame_0004.npz
5,3.5602970123291016,-103.19709536746366,-103.1412425952856,cir_frame_0005.npz
6,4.272356033325195,-104.48624800284891,-104.49949235967543,cir_frame_0006.npz
7,4.984415531158447,-105.60961729886205,-105.63407574870143,cir_frame_0007.npz
8,5.696475028991699,-106.6048301873088,-106.58321735873955,cir_frame_0008.npz
9,6.408534526824951,-107.49805212153862,-107.55927863694139,cir_frame_0009.npz
10,7.120594024658203,-108.2381099716228,-108.25707738812552,cir_frame_0010.npz
11,7.832653045654297,-105.45969493165629,-105.44761170861399,cir_frame_0011.npz
12,8.54471206665039,-108.31163854827312,-108.36758084811068,cir_frame_0012.npz
13,9.2567720413208,-105.62533566495534,-105.64078232619121,cir_frame_0013.npz
14,9.968831062316895,-112.64738146896136,-112.63380007760668,cir_frame_0014.npz
15,10.680891036987305,-106.42290190655822,-106.49433439392516,cir_frame_0015.npz
16,11.392950057983398,-109.76565653715093,-109.76406230146381,cir_frame_0016.npz
17,12.105009078979492,-112.92521303173528,-112.98872885259189,cir_frame_0017.npz
18,12.817069053649902,-112.08730806589273,-112.07064262581312,cir_frame_0018.npz
19,13.529128074645996,-113.42387388058994,-113.47946716703763,cir_frame_0019.npz
